Year,Region,lon,lat,pre
2012,11001,-60.67326488,-12.13755622,0.000343384
2012,11002,-64.02858601,-9.431540929,0.000253289
2012,11003,-62.35638358,-10.63667646,0.00023522
2012,11004,-64.09781474,-11.6949147,0.000191473
2012,11005,-61.21609755,-13.15346018,0.000207429
2012,11006,-61.68877858,-11.93273273,0.000228385
2012,11007,-62.56662191,-9.659090114,0.000247547
2012,11008,-62.88370018,-11.60588993,0.000145342
2012,12001,-71.12487697,-8.698419345,0.000431992
